medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,url_event,code,country_code,country,country_long
Bronze Medal,3,2024-08-09,Great Britain,M,Athletics,Men's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-100m-relay/fnl-000100--,ATHM4X100M--GBR01,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-09,Rai BENJAMIN,M,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,1960684,USA,United States,United States of America
Silver Medal,2,2024-08-09,Karsten WARHOLM,M,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,1894095,NOR,Norway,Norway
Bronze Medal,3,2024-08-09,Alison dos SANTOS,M,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,1951913,BRA,Brazil,Brazil
Gold Medal,1,2024-08-09,Jordan Alejandro DIAZ FORTUN,M,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,1904099,ESP,Spain,Spain
Silver Medal,2,2024-08-09,Pedro PICHARDO,M,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,1938792,POR,Portugal,Portugal
Bronze Medal,3,2024-08-09,Andy DIAZ HERNANDEZ,M,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,1552375,ITA,Italy,Italy
Gold Medal,1,2024-08-09,Beatrice CHEBET,W,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,1910560,KEN,Kenya,Kenya
Silver Medal,2,2024-08-09,Nadia BATTOCLETTI,W,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,1552305,ITA,Italy,Italy
Bronze Medal,3,2024-08-09,Sifan HASSAN,W,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,1972105,NED,Netherlands,Netherlands
Gold Medal,1,2024-08-09,United States,W,Athletics,Women's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--,ATHW4X100M--USA01,USA,United States,United States of America
Silver Medal,2,2024-08-09,Great Britain,W,Athletics,Women's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--,ATHW4X100M--GBR01,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-09,Germany,W,Athletics,Women's 4 x 100m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--,ATHW4X100M--GER01,GER,Germany,Germany
Gold Medal,1,2024-08-09,Marileidy PAULINO,W,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1899666,DOM,Dominican Republic,Dominican Republic
Silver Medal,2,2024-08-09,Salwa Eid NASER,W,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1915338,BRN,Bahrain,Bahrain
Bronze Medal,3,2024-08-09,Natalia KACZMAREK,W,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1573098,POL,Poland,Poland
Gold Medal,1,2024-08-09,Yemisi OGUNLEYE,W,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1920183,GER,Germany,Germany
Silver Medal,2,2024-08-09,Maddison-Lee WESCHE,W,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1926695,NZL,New Zealand,New Zealand
Bronze Medal,3,2024-08-09,SONG Jiayuan,W,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1919065,CHN,China,People's Republic of China
Gold Medal,1,2024-08-09,ANA PATRICIA/DUDA,W,Beach Volleyball,Women,HTEAM,/en/paris-2024/results/beach-volleyball/women/fnl-000100--,VBVWTEAM2---BRA01,BRA,Brazil,Brazil
Silver Medal,2,2024-08-09,MELISSA/BRANDIE,W,Beach Volleyball,Women,HTEAM,/en/paris-2024/results/beach-volleyball/women/fnl-000100--,VBVWTEAM2---CAN01,CAN,Canada,Canada
Bronze Medal,3,2024-08-09,HUBERLI/BRUNNER,W,Beach Volleyball,Women,HTEAM,/en/paris-2024/results/beach-volleyball/women/fnl-000200--,VBVWTEAM2---SUI01,SUI,Switzerland,Switzerland
Gold Medal,1,2024-08-09,Asadkhuja MUYDINKHUJAEV,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,1556797,UZB,Uzbekistan,Uzbekistan
Silver Medal,2,2024-08-09,Marco Alonso VERDE ALVAREZ,M,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,1535187,MEX,Mexico,Mexico
Gold Medal,1,2024-08-09,Lazizbek MULLOJONOV,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--,1556860,UZB,Uzbekistan,Uzbekistan
Silver Medal,2,2024-08-09,Loren Berto ALFONSO DOMINGUEZ,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--,1972343,AZE,Azerbaijan,Azerbaijan
Gold Medal,1,2024-08-09,WU Yu,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--,1926833,CHN,China,People's Republic of China
Silver Medal,2,2024-08-09,Buse Naz CAKIROGLU,W,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--,1568182,TUR,Türkiye,Türkiye
Gold Medal,1,2024-08-09,Imane KHELIF,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--,1540353,ALG,Algeria,Algeria
Silver Medal,2,2024-08-09,YANG Liu,W,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--,1926827,CHN,China,People's Republic of China
Gold Medal,1,2024-08-09,AMI,W,Breaking,B-Girls,HATH,/en/paris-2024/results/breaking/b-girls/fnl-000100--,1953038,JPN,Japan,Japan
Silver Medal,2,2024-08-09,NICKA,W,Breaking,B-Girls,HATH,/en/paris-2024/results/breaking/b-girls/fnl-000100--,1924559,LTU,Lithuania,Lithuania
Bronze Medal,3,2024-08-09,671,W,Breaking,B-Girls,HATH,/en/paris-2024/results/breaking/b-girls/fnl-000200--,1909907,CHN,China,People's Republic of China
Gold Medal,1,2024-08-09,Martin FUKSA,M,Canoe Sprint,Men's Canoe Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------,1878716,CZE,Czechia,Czechia
Silver Medal,2,2024-08-09,Isaquias QUEIROZ,M,Canoe Sprint,Men's Canoe Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------,1952595,BRA,Brazil,Brazil
Bronze Medal,3,2024-08-09,Serghei TARNOVSCHI,M,Canoe Sprint,Men's Canoe Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------,1550295,MDA,Republic of Moldova,Republic of Moldova
Gold Medal,1,2024-08-09,SCHOPF/LEMKE,M,Canoe Sprint,Men's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/men-s-kayak-double-500m/fnl---------,CSPMK2-500M-GER01,GER,Germany,Germany
Silver Medal,2,2024-08-09,NADAS/TOTKA,M,Canoe Sprint,Men's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/men-s-kayak-double-500m/fnl---------,CSPMK2-500M-HUN01,HUN,Hungary,Hungary
Bronze Medal,3,2024-08-09,van der WE/GREEN,M,Canoe Sprint,Men's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/men-s-kayak-double-500m/fnl---------,CSPMK2-500M-AUS01,AUS,Australia,Australia
Gold Medal,1,2024-08-09,XU/SUN,W,Canoe Sprint,Women's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-canoe-double-500m/fnl---------,CSPWC2-500M-CHN01,CHN,China,People's Republic of China
Silver Medal,2,2024-08-09,LUZAN/RYBACHOK,W,Canoe Sprint,Women's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-canoe-double-500m/fnl---------,CSPWC2-500M-UKR01,UKR,Ukraine,Ukraine
Bronze Medal,3,2024-08-09,MACKENZIE/VINCENT,W,Canoe Sprint,Women's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-canoe-double-500m/fnl---------,CSPWC2-500M-CAN01,CAN,Canada,Canada
Gold Medal,1,2024-08-09,CARRINGTON/HOSKIN,W,Canoe Sprint,Women's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------,CSPWK2-500M-NZL01,NZL,New Zealand,New Zealand
Silver Medal,2,2024-08-09,CSIPES/GAZSO,W,Canoe Sprint,Women's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------,CSPWK2-500M-HUN01,HUN,Hungary,Hungary
Bronze Medal,3,2024-08-09,PASZEK/HAKE,W,Canoe Sprint,Women's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------,CSPWK2-500M-GER01,GER,Germany,Germany
Bronze Medal,3,2024-08-09,PUPP/FOJT,W,Canoe Sprint,Women's Kayak Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------,CSPWK2-500M-HUN02,HUN,Hungary,Hungary
Gold Medal,1,2024-08-09,Harrie LAVREYSEN,M,Cycling Track,Men's Sprint,ATH,/en/paris-2024/results/cycling-track/men-s-sprint/fnl---------,1969182,NED,Netherlands,Netherlands
Silver Medal,2,2024-08-09,Matthew RICHARDSON,M,Cycling Track,Men's Sprint,ATH,/en/paris-2024/results/cycling-track/men-s-sprint/fnl---------,1940263,AUS,Australia,Australia
Bronze Medal,3,2024-08-09,Jack CARLIN,M,Cycling Track,Men's Sprint,ATH,/en/paris-2024/results/cycling-track/men-s-sprint/fnl---------,1912515,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-09,Italy,W,Cycling Track,Women's Madison,TEAM,/en/paris-2024/results/cycling-track/women-s-madison/fnl-000100--,CTRWMADISON-ITA01,ITA,Italy,Italy
Silver Medal,2,2024-08-09,Great Britain,W,Cycling Track,Women's Madison,TEAM,/en/paris-2024/results/cycling-track/women-s-madison/fnl-000100--,CTRWMADISON-GBR01,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-09,Netherlands,W,Cycling Track,Women's Madison,TEAM,/en/paris-2024/results/cycling-track/women-s-madison/fnl-000100--,CTRWMADISON-NED01,NED,Netherlands,Netherlands
Gold Medal,1,2024-08-09,CHEN Yiwen,W,Diving,Women's 3m Springboard,ATH,/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--,1901538,CHN,China,People's Republic of China
Silver Medal,2,2024-08-09,Maddison KEENEY,W,Diving,Women's 3m Springboard,ATH,/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--,1940414,AUS,Australia,Australia
Bronze Medal,3,2024-08-09,CHANG Yani,W,Diving,Women's 3m Springboard,ATH,/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--,1901539,CHN,China,People's Republic of China
Gold Medal,1,2024-08-09,Spain,M,Football,Men,HTEAM,/en/paris-2024/results/football/men/fnl-000100--,FBLMTEAM11--ESP01,ESP,Spain,Spain
Silver Medal,2,2024-08-09,France,M,Football,Men,HTEAM,/en/paris-2024/results/football/men/fnl-000100--,FBLMTEAM11--FRA01,FRA,France,France
Bronze Medal,3,2024-08-09,Germany,W,Football,Women,HTEAM,/en/paris-2024/results/football/women/fnl-000200--,FBLWTEAM11--GER01,GER,Germany,Germany
Gold Medal,1,2024-08-09,Netherlands,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,HOCWTEAM11--NED01,NED,Netherlands,Netherlands
Silver Medal,2,2024-08-09,China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,HOCWTEAM11--CHN01,CHN,China,People's Republic of China
Bronze Medal,3,2024-08-09,Argentina,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000200--,HOCWTEAM11--ARG01,ARG,Argentina,Argentina
Gold Medal,1,2024-08-09,Kristof RASOVSZKY,M,Marathon Swimming,Men's 10km,ATH,/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--,1909030,HUN,Hungary,Hungary
Silver Medal,2,2024-08-09,Oliver KLEMET,M,Marathon Swimming,Men's 10km,ATH,/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--,1907234,GER,Germany,Germany
Bronze Medal,3,2024-08-09,David BETLEHEM,M,Marathon Swimming,Men's 10km,ATH,/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--,1902450,HUN,Hungary,Hungary
Gold Medal,1,2024-08-09,Valentin BONTUS,M,Sailing,Men's Kite,ATH,/en/paris-2024/results/sailing/men-s-kite/fnl-000300--,1566437,AUT,Austria,Austria
Silver Medal,2,2024-08-09,Toni VODISEK,M,Sailing,Men's Kite,ATH,/en/paris-2024/results/sailing/men-s-kite/fnl-000300--,1981549,SLO,Slovenia,Slovenia
Bronze Medal,3,2024-08-09,Maximilian MAEDER,M,Sailing,Men's Kite,ATH,/en/paris-2024/results/sailing/men-s-kite/fnl-000300--,1535852,SGP,Singapore,Singapore
Gold Medal,1,2024-08-09,Toby ROBERTS,M,Sport Climbing,Men's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--,1544218,GBR,Great Britain,Great Britain
Silver Medal,2,2024-08-09,ANRAKU Sorato,M,Sport Climbing,Men's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--,1892022,JPN,Japan,Japan
Bronze Medal,3,2024-08-09,Jakob SCHUBERT,M,Sport Climbing,Men's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--,1560677,AUT,Austria,Austria
Gold Medal,1,2024-08-09,China,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00010000,TTEMTEAM----CHN01,CHN,China,People's Republic of China
Silver Medal,2,2024-08-09,Sweden,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00010000,TTEMTEAM----SWE01,SWE,Sweden,Sweden
Bronze Medal,3,2024-08-09,France,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00020000,TTEMTEAM----FRA01,FRA,France,France
Gold Medal,1,2024-08-09,Firas KATOUSSI,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/fnl-000100--,1947737,TUN,Tunisia,Tunisia
Silver Medal,2,2024-08-09,Mehran BARKHORDARI,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/fnl-000100--,1536058,IRI,IR Iran,Islamic Republic of Iran
Bronze Medal,3,2024-08-09,Simone ALESSIO,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/repf000100--,1929685,ITA,Italy,Italy
Bronze Medal,3,2024-08-09,Edi HRNIC,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/repf000200--,1914832,DEN,Denmark,Denmark
Gold Medal,1,2024-08-09,Viviana MARTON,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/fnl-000100--,1572318,HUN,Hungary,Hungary
Silver Medal,2,2024-08-09,Aleksandra PERISIC,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/fnl-000100--,1956372,SRB,Serbia,Serbia
Bronze Medal,3,2024-08-09,Kristina TEACHOUT,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/repf000100--,1930773,USA,United States,United States of America
Bronze Medal,3,2024-08-09,Sarah CHAARI,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/repf000200--,1903284,BEL,Belgium,Belgium
Bronze Medal,3,2024-08-09,United States,M,Volleyball,Men,HTEAM,/en/paris-2024/results/volleyball/men/fnl-000200--,VVOMTEAM6---USA01,USA,United States,United States of America
Gold Medal,1,2024-08-09,Karlos May NASAR,M,Weightlifting,Men's 89kg,ATH,/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--,1903011,BUL,Bulgaria,Bulgaria
Silver Medal,2,2024-08-09,Yeison LOPEZ,M,Weightlifting,Men's 89kg,ATH,/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--,1543506,COL,Colombia,Colombia
Bronze Medal,3,2024-08-09,Antonino PIZZOLATO,M,Weightlifting,Men's 89kg,ATH,/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--,1568724,ITA,Italy,Italy
Gold Medal,1,2024-08-09,Olivia REEVES,W,Weightlifting,Women's 71kg,ATH,/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--,1917154,USA,United States,United States of America
Silver Medal,2,2024-08-09,Mari Leivis SANCHEZ,W,Weightlifting,Women's 71kg,ATH,/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--,1543509,COL,Colombia,Colombia
Bronze Medal,3,2024-08-09,Angie Paola PALACIOS DAJOMES,W,Weightlifting,Women's 71kg,ATH,/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--,1940300,ECU,Ecuador,Ecuador
Gold Medal,1,2024-08-09,HIGUCHI Rei,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/fnl-000100--,1939714,JPN,Japan,Japan
Silver Medal,2,2024-08-09,Spencer Richard LEE,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/fnl-000100--,1955415,USA,United States,United States of America
Bronze Medal,3,2024-08-09,Aman AMAN,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/repf000100--,1931496,IND,India,India
Bronze Medal,3,2024-08-09,Gulomjon ABDULLAEV,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/repf000200--,1562157,UZB,Uzbekistan,Uzbekistan
Gold Medal,1,2024-08-09,Magomed Eldarovitch RAMAZANOV,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/fnl-000100--,1556873,BUL,Bulgaria,Bulgaria
Silver Medal,2,2024-08-09,Hassan YAZDANICHARATI,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/fnl-000100--,1544803,IRI,IR Iran,Islamic Republic of Iran
Bronze Medal,3,2024-08-09,Aaron Marquel BROOKS,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/repf000100--,1955300,USA,United States,United States of America
Bronze Medal,3,2024-08-09,Dauren KURUGLIEV,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/repf000200--,1963800,GRE,Greece,Greece
Gold Medal,1,2024-08-09,SAKURAI Tsugumi,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--,1939710,JPN,Japan,Japan
Silver Medal,2,2024-08-09,Anastasia NICHITA,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--,1572203,MDA,Republic of Moldova,Republic of Moldova
Bronze Medal,3,2024-08-09,Helen Louise MAROULIS,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/repf000100--,1955426,USA,United States,United States of America
Bronze Medal,3,2024-08-09,HONG Kexin,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/repf000200--,1920010,CHN,China,People's Republic of China
Gold Medal,1,2024-08-10,China,W,Artistic Swimming,Duet,COUP,/en/paris-2024/results/artistic-swimming/duet/fnl-000100--,SWAWTEAM2---CHN01,CHN,China,People's Republic of China
Silver Medal,2,2024-08-10,Great Britain,W,Artistic Swimming,Duet,COUP,/en/paris-2024/results/artistic-swimming/duet/fnl-000100--,SWAWTEAM2---GBR01,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-08-10,Netherlands,W,Artistic Swimming,Duet,COUP,/en/paris-2024/results/artistic-swimming/duet/fnl-000100--,SWAWTEAM2---NED01,NED,Netherlands,Netherlands
Gold Medal,1,2024-08-10,United States,M,Athletics,Men's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-400m-relay/fnl-000100--,ATHM4X400M--USA01,USA,United States,United States of America
Silver Medal,2,2024-08-10,Botswana,M,Athletics,Men's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-400m-relay/fnl-000100--,ATHM4X400M--BOT01,BOT,Botswana,Botswana
Bronze Medal,3,2024-08-10,Great Britain,M,Athletics,Men's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-400m-relay/fnl-000100--,ATHM4X400M--GBR01,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-10,Jakob INGEBRIGTSEN,M,Athletics,Men's 5000m,ATH,/en/paris-2024/results/athletics/men-s-5000m/fnl-000100--,1898250,NOR,Norway,Norway
Silver Medal,2,2024-08-10,Ronald KWEMOI,M,Athletics,Men's 5000m,ATH,/en/paris-2024/results/athletics/men-s-5000m/fnl-000100--,1963077,KEN,Kenya,Kenya
Bronze Medal,3,2024-08-10,Grant FISHER,M,Athletics,Men's 5000m,ATH,/en/paris-2024/results/athletics/men-s-5000m/fnl-000100--,1960959,USA,United States,United States of America
Gold Medal,1,2024-08-10,Emmanuel WANYONYI,M,Athletics,Men's 800m,ATH,/en/paris-2024/results/athletics/men-s-800m/fnl-000100--,1910412,KEN,Kenya,Kenya
Silver Medal,2,2024-08-10,Marco AROP,M,Athletics,Men's 800m,ATH,/en/paris-2024/results/athletics/men-s-800m/fnl-000100--,1974048,CAN,Canada,Canada
Bronze Medal,3,2024-08-10,Djamel SEDJATI,M,Athletics,Men's 800m,ATH,/en/paris-2024/results/athletics/men-s-800m/fnl-000100--,1963520,ALG,Algeria,Algeria
Gold Medal,1,2024-08-10,Hamish KERR,M,Athletics,Men's High Jump,ATH,/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--,1926713,NZL,New Zealand,New Zealand
Silver Medal,2,2024-08-10,Shelby McEWEN,M,Athletics,Men's High Jump,ATH,/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--,1965306,USA,United States,United States of America
Bronze Medal,3,2024-08-10,Mutaz Essa BARSHIM,M,Athletics,Men's High Jump,ATH,/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--,1566681,QAT,Qatar,Qatar
Gold Medal,1,2024-08-10,Tamirat TOLA,M,Athletics,Men's Marathon,ATH,/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--,1901284,ETH,Ethiopia,Ethiopia
Silver Medal,2,2024-08-10,Bashir ABDI,M,Athletics,Men's Marathon,ATH,/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--,1942753,BEL,Belgium,Belgium
Bronze Medal,3,2024-08-10,Benson KIPRUTO,M,Athletics,Men's Marathon,ATH,/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--,1910555,KEN,Kenya,Kenya
Gold Medal,1,2024-08-10,Masai RUSSELL,W,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,1960169,USA,United States,United States of America
Silver Medal,2,2024-08-10,Cyrena SAMBA-MAYELA,W,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,1911932,FRA,France,France
Bronze Medal,3,2024-08-10,Jasmine CAMACHO-QUINN,W,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,1537183,PUR,Puerto Rico,Puerto Rico
Gold Medal,1,2024-08-10,Faith KIPYEGON,W,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1910451,KEN,Kenya,Kenya
Silver Medal,2,2024-08-10,Jessica HULL,W,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1939795,AUS,Australia,Australia
Bronze Medal,3,2024-08-10,Georgia BELL,W,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1956840,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-10,United States,W,Athletics,Women's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--,ATHW4X400M--USA01,USA,United States,United States of America
Silver Medal,2,2024-08-10,Netherlands,W,Athletics,Women's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--,ATHW4X400M--NED01,NED,Netherlands,Netherlands
Bronze Medal,3,2024-08-10,Great Britain,W,Athletics,Women's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--,ATHW4X400M--GBR01,GBR,Great Britain,Great Britain
Gold Medal,1,2024-08-10,KITAGUCHI Haruka,W,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1919914,JPN,Japan,Japan
Silver Medal,2,2024-08-10,Jo-Ane van DYK,W,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1981085,RSA,South Africa,South Africa
Bronze Medal,3,2024-08-10,Nikola OGRODNIKOVA,W,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1892137,CZE,Czechia,Czechia
Gold Medal,1,2024-08-10,United States,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000100--,BKBMTEAM5---USA01,USA,United States,United States of America
Silver Medal,2,2024-08-10,France,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000100--,BKBMTEAM5---FRA01,FRA,France,France
Bronze Medal,3,2024-08-10,Serbia,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000200--,BKBMTEAM5---SRB01,SRB,Serbia,Serbia
Gold Medal,1,2024-08-10,AHMAN/HELLVIG,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000100--,VBVMTEAM2---SWE01,SWE,Sweden,Sweden
Silver Medal,2,2024-08-10,EHLERS/WICKLER,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000100--,VBVMTEAM2---GER01,GER,Germany,Germany
Bronze Medal,3,2024-08-10,MOL/SORUM,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000200--,VBVMTEAM2---NOR01,NOR,Norway,Norway
Gold Medal,1,2024-08-10,Bakhodir JALOLOV,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--,1556869,UZB,Uzbekistan,Uzbekistan
